Line_SumCount	Line_Count_Ratio	Line_N	Line_N_Ratio	Line_MaxCount	Line_MeanCount	Line
23	0.211009174	3	0.111111111	13	7.666666667	1
21	0.062130178	2	0.018691589	11	10.5	1
18	0.004470939	6	0.003027245	4	3	0
18	0.015693113	3	0.005376344	7	6	1
18	0.015693113	3	0.005376344	7	6	1
15	0.013077594	4	0.007168459	5	3.75	1
14	0.013902681	2	0.006060606	8	7	1
14	0.020802377	5	0.015151515	3	2.8	1
14	0.012205754	3	0.005376344	7	4.666666667	1
11	0.009590235	3	0.005376344	6	3.666666667	1
11	0.148648649	3	0.130434783	4	3.666666667	1
11	0.108910891	3	0.096774194	4	3.666666667	1
10	0.008718396	3	0.005376344	4	3.333333333	0
10	0.135135135	3	0.130434783	4	3.333333333	1
6	0.064516129	3	0.065217391	2	2	0
6	0.064516129	3	0.065217391	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
2	0.000506329	1	0.000510465	2	2	0
23	0.014781491	11	0.014945652	3	2.090909091	0
4	0.002570694	2	0.002717391	2	2	0
36	0.023136247	17	0.023097826	3	2.117647059	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
2	0.001285347	1	0.001358696	2	2	0
23	0.038983051	11	0.044176707	3	2.090909091	0
2	0.003389831	1	0.004016064	2	2	0
33	0.347368421	16	0.340425532	3	2.0625	0
33	0.347368421	16	0.340425532	3	2.0625	0
8	0.042328042	4	0.042553191	2	2	0
6	0.072289157	3	0.073170732	2	2	0
6	0.072289157	3	0.073170732	2	2	0
10	0.322580645	5	0.333333333	2	2	0
6	0.065934066	3	0.066666667	2	2	0
27	0.029966704	13	0.029213483	3	2.076923077	0
2	0.002219756	1	0.002247191	2	2	0
2	0.002219756	1	0.002247191	2	2	0
2	0.002219756	1	0.002247191	2	2	0
2	0.002219756	1	0.002247191	2	2	0
2	0.002219756	1	0.002247191	2	2	0
