batchName	数据分析的批次名称
Round	筛选轮次
Protein	筛选蛋白
Protein_CC	筛选蛋白浓度
SampleID	筛选样本编号（未添加阳性抑制剂）
LibraryID	筛选库编号
LibrarySize	筛选库大小（未去重）
Control1_ID	筛选样本编号（添加阳性抑制剂1）
Control2_ID	筛选样本编号（添加阳性抑制剂2）
NTC_ID	NTC样本编号
Case_Normalized_z-score	信号在未添加阳性抑制剂的样本中的Normalized_z-score
Control1_Normalized_z-score	信号在阳性添加抑制剂1的样本中的Normalized_z-score
Control2_Normalized_z-score	信号在阳性添加抑制剂2的样本中的Normalized_z-score
NTC_Normalized_z-score	信号在NTC样本中的Normalized_z-scor
Normalized_z-score_diff1	与Control1_Normalized_z-score的差值
Normalized_z-score_diff2	与Control2_Normalized_z-score的差值
TAG1	第一个循环的TAG编号，如"1.001"
TAG1_structure	第一个循环的TAG编号对应的smiles文件，如"OC1=C(F)C=C(C=O)C=C1"
TAG1_BB	第一个循环的TAG编号对应的BB试剂编号，如"BB03650"
TAG2	第二个循环的TAG编号，如"3.001"
TAG2_structure	第二个循环的TAG编号对应的smiles文件，如"OC1=C(F)C=C(C=O)C=C1"
TAG2_BB	第二个循环的TAG编号对应的BB试剂编号，如"BB03650"
TAG3	第三个循环的TAG编号，如"3.001"
TAG3_structure	第三个循环的TAG编号对应的smiles文件，如"OC1=C(F)C=C(C=O)C=C1"
TAG3_BB	第三个循环的TAG编号对应的BB试剂编号，如"BB03650"
DLP	每个样本每个库形成的线面类型，共有8种："0, D, DP, P, L, DL, LP, DLP"，这8种类型，可靠性递增。0表示该样本中该库没有化合物富集；D表示只有大点；DP表示只有点和面；P表示只有面；L表示只有线；DL表示形成了点和线；LP表示形成了线和面；DLP表示形成了点线面
Tags	库编号+三个循环BB编号(仅点信号列出该信息)

