SheetName	Columns	Comments
Hits	BatchName	BatchName
Hits	Round	The number of the Screening Round
Hits	Protein	Screening protein
Hits	Protein_CC	Protein concentrations
Hits	Library_ID	DEL Library ID
Hits	LibrarySize	DEL library size
Hits	Tags	LibraryID_TAG{i}ID_..., e.g. "0040-C2-CP0038_Tag-10968_Tag-20921_Tag-30192"
Hits	TAG1	TAG ID for cycle 1, e.g. "1.001"
Hits	TAG1_structure	SMILES corresponds to TAG ID for cycle1, e.g. "CC(C)(C)OC(=O)N1C[C@H](N)C(C)(C)C1"
Hits	TAG1_FF	Fragment corresponds to TAG ID for cycle1, e.g. "CC(=O)Nc1nc([*:1])nc(N[C@H]2CNCC2(C)C)n1"
Hits	TAG1_BB	BB ID corresponds to TAG ID for cycle1, e.g. "BB03650"
Hits	TAG2	TAG ID for cycle 2
Hits	TAG2_structure	SMILES corresponds to TAG ID for cycle2
Hits	TAG2_FF	Fragment corresponds to TAG ID for cycle2
Hits	TAG2_BB	BB ID corresponds to TAG ID for cycle2
Hits	TAG3	TAG ID for cycle 3
Hits	TAG3_structure	SMILES corresponds to TAG ID for cycle3
Hits	TAG3_FF	Fragment corresponds to TAG ID for cycle3
Hits	TAG3_BB	BB ID corresponds to TAG ID for cycle3
Hits	DLP({Sample_id})	DLP for {Sample_id}: 5,4,3,2,1(importance as descending order)
Hits	Plane({Sample_id})	Plane TAGID for {Sample_id}
Hits	Line({Sample_id})	Line TAGID for {Sample_id}
Hits	Dedup_count({Sample_id})	Dedup_count for {Sample_id}
Hits	z-score({Sample_id})	z-score for {Sample_id}
Hits	EF({Sample_id})	EF for {Sample_id}, z-score(case)/z-score(NTC)
Hits	Repeat({Sample_id})	Repeat for {Sample_id}: repeat bbs singnals exists in some libraries,the greater the probability that a compound will be repeated in this result, the more reliable the statement.
Hits	ClusterID_0.3	Cluster analysis(cutoff(1-similarity) is 0.3): cutoff >= 0.3 of tow compounds is in different clusters
Hits	ClusterID_0.5	Cluster analysis(cutoff(1-similarity) is 0.5)
Hits	ClusterID_0.7	Cluster analysis(cutoff(1-similarity) is 0.7)
Hits	Pocket({Sample_id})	The mechanism is the same as for the sample with the addition of inhibitors: Inner, Unknown
Hits	Mechanism	Mechanism: A(pocket1),B(pocket2), Inner(Sample signals(no the condition of adding inhibitor)), Other
Hits	Type	The type of compound: 123, 12, 1(BB1-BB2-BB3, BB1-BB2, BB1)
Hits	MW	molecule weight(<= 500 in Lipinski)
Hits	logp	logp(>=-2, <=5 in Lipinski)
Hits	HBD	HBD(<=5 in Lipinski)
Hits	HBA	HBA(<=10 in Lipinski)
Hits	TPSA	TPSA(Rule(3/75) >= 75, Rule(Veber)<140)
Hits	QED	QED(Reference cutoff > 0.67)
Hits	MCE18	MCE18(Reference cutoff >= 45)
Hits	VinaScore	VinaScore(Reference cutoff <=-8kcal/mol)
Hits	MPO_score	mpo_score = mw_score * (logp_score + arc_score + hbd_score); e.g. mw < 400, 1< logp <=3, arom <= 2,hbd <=2, mpo_score is bigger
Hits	Novelty	1-TanimotoSimilarity(MorganFingerprint)
Hits	Novelty_smiles	Smiles of the most similar compound
Hits	Entry Number	Entry Number of the most similar compound
