Entry Number	Target	Smiles
777290	P015	CN1CC[C@H]([C@@H]1CO)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O.Cl
974106	P015	CC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)Nc2cc(c(cn2)Cl)c3cnn4c3CC(C4)(C)C
699799	P015	C[C@H]([C@@H](C)Oc1c(cnc(n1)Nc2ccc(cc2)[S@](=N)(=O)C3CC3)C(F)(F)F)O
309808	P015	CC[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3
253029	P015	CCC(CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3
1110685	P015	CCC(CC)c1cc(n2c(n1)ccn2)N[C@H]3CC[C@@H](C3)N
740650	P015	CC[C@@H]([C@@H](C)O)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3cnc(cc3C)C
465977	P015	CN1C/C=C/CCOc2cccc(c2)-c3ccnc(n3)Nc4cccc(c4)C1.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
306651	P015	CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3.CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
1111394	P015	0
962129	P015	Cn1ncc(c1CC2CC2)c3nc(ncc3Cl)N[C@H]4CC[C@@H](CC4)N.Cl
924521	P015	CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)OP(=O)(O)O.Cl
907461	P015	COc1cc(ccc1c2cc(ncc2F)Nc3cc(ccn3)CS(=N)(=O)C)F
825278	P015	COc1cc(ccc1c2ncnc(n2)Nc3cccc(c3)C[S@](=N)(=O)C)F
763054	P015	CN1CCN(CC1)c2ccc(cc2)Nc3ncc4cc(c(=O)n(c4n3)C5CCCC5)C#N
743432	P015	CN1CC[C@H]([C@@H]1CO)c2c(cc(c3c2oc(cc3=O)c4ccc(cc4Cl)C(F)(F)F)O)O.Cl
428087	P015	CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)[O-])N4CCCC[C@H]4CCO
399905	P015	c1cc(c(c(c1)Cl)C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3)Cl.Cl
344420	P015	C[C@H](CO)Nc1c(cnc(n1)Nc2ccc(cc2)S(=O)(=O)N)Br.Cl
166785	P015	CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O.Cl
1154344	P015	0
1137944	P015	0
1119478	P015	0
866570	P015	CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)/C=C/c4c(cccc4Cl)Cl)O)O
1166508	P015	Cc1c(ccc(n1)c2ccc(cc2)F)C(=O)NNc3nc(nc(n3)N4CCOCC4)N
1158907	P015	CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N5CCCC5
1158903	P015	CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N5CCCCC5
1156647	P015	CC[C@@H](CO)Nc1cc(n2c(n1)c(cn2)C(C)C)NCc3ccc(cc3)NC(=O)N4CCN(CC4)CCCCCc5cccc6c5CN(C6=O)C7CCC(=O)NC7=O
1156462	P015	Cc1c2cc(ccc2[nH]n1)c3cc(cnc3Cl)N[C@@H](CO)c4ccccc4
1151175	P015	CC(C)c1c2cc(ccc2nn1C)c3ccnc(n3)Nc4ccc5c(c4)ncnc5N6CCN(CC6)C
1148026	P015	c1c2c(cn[nH]2)c3c4c(c(nc3c1F)c5c[nH]nc5C(F)(F)F)C6CCC4C6
1148025	P015	c1c2c(cn[nH]2)c3c4c(c(nc3c1F)c5c[nH]nc5)CCCC4
1144178	P015	COc1c(cc(cc1)F)c2c(cnc3c2cc([nH]3)C4=CCN(CC4)[C@H]5CC[C@H](CC5)C(=O)O)F
1144177	P015	COc1c(cc(cc1)F)c2c3c(ncc2)[nH]c(c3)C4=CCN(CC4)[C@H]5CC[C@@H](CC5)CC(=O)O
1144176	P015	COc1c(cc(cc1)F)c2c3c(ncc2)[nH]c(c3)C4=CCN(CC4)[C@H]5CC[C@H](CC5)C(=O)O
1144175	P015	COc1c(cc(cc1)F)c2c3c(ncc2)[nH]c(c3)C4=CCN(CC4)[C@H]5CC[C@@H](CC5)C(=O)O
1141623	P015	c1cc2c(c(c1)NCCCCNC(=O)CCCOc3ccc(cc3)CC(=O)Nc4cc([nH]n4)C5CCC5)C(=O)N(C2=O)C6CCC(=O)NC6=O
1129742	P015	Cc1cnc(nc1c2c(nc(s2)NC)C)Nc3cccc(c3)N4CCN5CCC4CC5
